race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106030811	2021-04-18	1	0.0	2000	0.0	1	8	6
202106030812	2021-04-18	1	0.0	2500	0.0	1	4	6
202106040101	2021-09-11	3		2880	1.0	0	1	6
202106040102	2021-09-11	1	0.0	1600	1.0	0	1	6
202106040103	2021-09-11	0	0.0	1800	1.0	1	1	6
202106040104	2021-09-11	0	0.0	1200	1.0	1	0	6
202106040105	2021-09-11	1	0.0	2000	1.0	0	0	6
202106040106	2021-09-11	0	0.0	1200	1.0	1	2	6
202106040107	2021-09-11	1	0.0	1800	0.0	0	2	6
202106040108	2021-09-11	0	0.0	1800	0.0	0	2	6
202106040109	2021-09-11	1	0.0	1600	0.0	0	2	6
202106040110	2021-09-11	1	0.0	1200	0.0	0	5	6
202106040111	2021-09-11	1	0.0	2000	0.0	0	6	6
202106040112	2021-09-11	0	0.0	1200	0.0	0	2	6
202106040201	2021-09-12	0	0.0	1200	1.0	0	1	6
202106040202	2021-09-12	1	0.0	2000	1.0	0	1	6
202106040203	2021-09-12	0	0.0	1800	1.0	0	0	6
202106040204	2021-09-12	0	0.0	1200	1.0	0	2	6
202106040205	2021-09-12	1	0.0	1600	1.0	0	0	6
202106040206	2021-09-12	0	0.0	1800	1.0	0	2	6
202106040207	2021-09-12	1	0.0	1600	1.0	0	2	6
202106040208	2021-09-12	1	0.0	1800	1.0	0	5	6
202106040209	2021-09-12	0	0.0	1800	1.0	0	2	6
202106040210	2021-09-12	1	0.0	1200	1.0	0	4	6
202106040211	2021-09-12	1	0.0	1600	1.0	0	6	6
202106040212	2021-09-12	0	0.0	1200	1.0	0	3	6
202106040301	2021-09-18	0	0.0	1200	3.0	3	1	6
202106040302	2021-09-18	0	0.0	1800	3.0	3	1	6
202106040303	2021-09-18	1	0.0	1200	3.0	2	1	6
202106040304	2021-09-18	0	0.0	1800	3.0	3	0	6
202106040305	2021-09-18	1	0.0	1800	3.0	2	0	6
202106040306	2021-09-18	0	0.0	1200	3.0	3	2	6
202106040307	2021-09-18	1	0.0	2500	3.0	2	2	6
202106040308	2021-09-18	0	0.0	1800	2.0	3	2	6
202106040309	2021-09-18	0	0.0	2400	1.0	3	5	6
202106040310	2021-09-18	1	0.0	1600	1.0	2	5	6
202106040311	2021-09-18	0	0.0	1200	2.0	3	4	6
202106040312	2021-09-18	1	0.0	2000	1.0	2	2	6
202106040401	2021-09-19	0	0.0	1200	0.0	2	1	6
202106040402	2021-09-19	1	0.0	2000	0.0	1	1	6
202106040403	2021-09-19	0	0.0	1800	0.0	2	1	6
202106040404	2021-09-19	1	0.0	1200	0.0	1	0	6
202106040405	2021-09-19	1	0.0	1600	0.0	1	0	6
202106040406	2021-09-19	0	0.0	1200	0.0	2	2	6
